test,result,mode
test_continuity.ContinuityTests.test_1_normal_turn,PASS,offline_simulation
test_continuity.ContinuityTests.test_2_code_switch_retains_structured_deltas,PASS,offline_simulation
test_continuity.ContinuityTests.test_3_constraint_change_cancels_running_tool,PASS,offline_simulation
test_continuity.ContinuityTests.test_4_uncooperative_stale_result_is_dropped,PASS,offline_simulation
test_continuity.ContinuityTests.test_5_barge_in_clears_queue_and_rejects_late_audio,PASS,offline_simulation
test_continuity.ContinuityTests.test_deferred_result_dropped_after_spoken_correction,PASS,offline_simulation
test_continuity.ContinuityTests.test_interrupt_fences_pending_planner,PASS,offline_simulation
test_continuity.ContinuityTests.test_invalid_tool_cannot_mutate_state,PASS,offline_simulation
test_continuity.ContinuityTests.test_remove_constraint,PASS,offline_simulation
test_continuity.ContinuityTests.test_silent_lookup_survives_status_speech,PASS,offline_simulation
test_continuity.ContinuityTests.test_status_does_not_bump_generation,PASS,offline_simulation
test_gemini.GeminiTests.test_blocked_response_is_rejected,PASS,offline_simulation
test_gemini.GeminiTests.test_http_error_does_not_expose_body_or_key,PASS,offline_simulation
test_gemini.GeminiTests.test_invalid_budget_is_rejected,PASS,offline_simulation
test_gemini.GeminiTests.test_mixed_transcript_and_validated_delta,PASS,offline_simulation
test_providers.InventoryTests.test_budget_boundary_is_exclusive,PASS,offline_simulation
test_providers.InventoryTests.test_filters_budget_and_nonstop,PASS,offline_simulation
test_providers.InventoryTests.test_hindi_result_matches_selected_voice,PASS,offline_simulation
test_providers.InventoryTests.test_lookup_is_cancellable,PASS,offline_simulation
test_providers.PlannerTests.test_budget_boolean_is_rejected,PASS,offline_simulation
test_providers.PlannerTests.test_duplicate_deltas_are_rejected,PASS,offline_simulation
test_providers.PlannerTests.test_raw_mixed_transcript_and_state_reach_provider,PASS,offline_simulation
test_providers.PlannerTests.test_refusal_is_not_an_action,PASS,offline_simulation
test_providers.PlaybackTests.test_interrupts_all_handles_and_blocks_old_generation,PASS,offline_simulation
test_sdk_contract.SDKContractTests.test_installed_plugins_construct_without_remote_calls,PASS,offline_simulation
